ccf_icon_file,source,final_lucide_match,confidence,confidence_manually_set,icon_manually_picked,note
CHANNEL_ICON_NAME.VOICE_OLD_4,inline,user-x,HIGH,yes,yes,
CHANNEL_ICON_NAME.VOICE_OLD_5,inline,file-x,HIGH,yes,yes,
CHANNEL_ICON_NAME.YOUTUBE,inline,,CUSTOM,yes,no,
CHANNEL_TYPE.PUBLIC,inline,earth,HIGH,yes,yes,
DIGITAL_SEARCH_ICONS.COLUMNS,inline,columns-3,HIGH,no,no,
DIGITAL_SEARCH_ICONS.PERMISSION_DENIED,inline,ticket-x,CUSTOM,yes,no,
DIGITAL_SEARCH_ICONS.PERMISSION_DENIED_2,inline,clipboard-check,HIGH,yes,yes,
EMAIL_ACTIONS.FORWARD,inline,forward,HIGH,no,no,
EMAIL_ACTIONS.REPLY,inline,reply,HIGH,no,no,
EMAIL_ACTIONS.REPLY_2,inline,check-check,HIGH,no,yes,
EMAIL_ACTIONS.REPLY_3,inline,check-check,HIGH,no,yes,
EMAIL_ACTIONS.REPLY_ALL,inline,reply-all,HIGH,no,no,
LINK_ICONS.RICH_MESSAGE_LINK,inline,link,HIGH,yes,no,
REACTION_ICONS.LIKE,inline,thumbs-up,HIGH,yes,no,
REACTION_ICONS.LIKE_FILLED,inline,message-circle-heart,CUSTOM,yes,no,
REACTION_ICONS.SHARE,inline,repeat-2,HIGH,yes,no,
